what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.workbench",1559295182012
started,bundle,org.eclipse.mylyn.context.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.core",1559295182012
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.tasks.ui",1559295182012
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.monitor.ui",1559295182012
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.ui",1559295182012
started,bundle,org.eclipse.mylyn.team.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.team.ui",1559295182012
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1559295182012
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1559295182012
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1559295182028
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1559295182028
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1559295182028
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1559295182028
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1559295182028
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1559295182028
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1559295182028
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1559295182028
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1559295182028
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1559295182044
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1559295182044
started,bundle,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.adt",1559295182044
started,bundle,com.android.ide.eclipse.base,22.2.1.v201309180102-833290,"com.android.ide.eclipse.base",1559295182044
os,sysinfo,,,"win32",1559295182044
arch,sysinfo,,,"x86",1559295182044
ws,sysinfo,,,"win32",1559295182044
locale,sysinfo,,,"zh_CN",1559295182044
processors,sysinfo,,,"4",1559295182044
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1559295182044
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1559295182044
java.specification.name,sysinfo,,,"Java Platform API Specification",1559295182044
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1559295182044
java.specification.version,sysinfo,,,"1.6",1559295182044
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1559295182044
java.version,sysinfo,,,"1.6.0_45",1559295182044
java.vm.info,sysinfo,,,"mixed mode, sharing",1559295182044
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1559295182044
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1559295182044
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1559295182044
java.vm.specification.version,sysinfo,,,"1.0",1559295182044
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1559295182044
java.vm.version,sysinfo,,,"20.45-b01",1559295182044
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1559295182059
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1559295182558
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1559295182558
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1559295182699
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1559295182699
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1559295182730
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1559295183058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559295184087
error,log,,,"Collect preferences failed, class java/lang/AutoCloseable not found in C:\\andriod\\android-sdk-windows\\platforms\\android-19\\android.jar",1559295185164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559295185772
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1559295193461
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1559295193477
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1559295193493
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1559295193493
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1559295193539
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1559295193555
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1559295193649
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1559295193649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559295195739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559295218624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1559295218655
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1559295395980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559295407149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559295408304
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559295408413
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1559295409146
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1559295409146
